Revised,Number,Vocabulary,Meaning
,139,symptom,症状；兆候（≒sign）
,140,eruption,勃発、噴火
,141,quantity,量；分量
,142,ad,広告
,143,saving,節約、倹約、預金(額)、蓄え
,144,territory,領土；（活動の）領域；（動物の）テリトリー
,145,threat,脅威；（悪い）兆し；脅迫
,146,sufferer,苦しむ人、被災者、病人
,147,emission,排気、放出(物)
,148,executive,重役、幹部、経営者
,149,strategy,戦略
,150,riot,暴動
,151,district,地区；行政区
,152,election,選挙
,153,medication,(医師が処方した)薬、医薬品、薬物治療
,154,breed,を繁殖させる，育てる；繁殖する
,155,conflict,争い；論争；不一致
,156,productivity,生産性
,157,organism,有機体、生物
,158,representative,代表者、代理人
,159,warehouse,倉庫
,160,refund,返金、払い戻し(金)
,161,tuition,【主に米】 授業料；（個人）指導
,162,range,範囲、領域
,163,victim,犠牲（者），被害者
,164,dose,（薬の1回分の）服用量；放射線の1回の照射量
,165,mainland,本土
,166,waterfall,滝
,167,satellite,人工衛星、衛星
,168,evolution,進化、発展、展開
,169,prey,獲物；犠牲者
,170,bystander,傍観者
,171,creature,生き物、(特に人以外の)動物
,172,civilization,文明
,173,tribe,部族；仲間
,174,permission,許可、承認
,175,barrier,（～に対する）障壁（against/to）；防壁
,176,wage,賃金、給料
,177,drone,ドローン、(無線操作の)無人機
,178,appearance,外観、出現
,179,embassy,大使館；大使一行
,180,skeleton,骨格；骨組み；概略
,181,wildlife,野生生物
,182,potential,潜在的な；可能性を秘めた
,183,limited,限定された、わずかの
,184,rural,田舎の（⇔urban），田園の
,185,advanced,進歩した、前進した、上級の
,186,beneficial,有益な、有利な
,187,genetic,遺伝子の
,188,radical,急進的な；根本的な
,189,hostile,敵意のある（⇔friendly 友好的な）
,190,fit,健康な、元気な、ふさわしい
,191,long-term,長期にわたる、長期的な
,192,Arctic,北極の
,193,minor,重要でない；小さい
,194,risky,危険な
,195,complex,複雑な、複合(体)の
,196,competitive,競争力のある、格安の、競争の
,197,immediate,即座の；当面の；すぐそばの；直接の
,198,religious,宗教(上)の、信仰があつい
,199,related,関連した、関係のある
,200,affordable,手頃な、安価な
,201,donate,を寄付する；（臓器・血液）を提供する
,202,lessen,を減らす
,203,manufacture,を製造する；をでっち上げる
,204,commute,通勤［通学］する
,205,exaggerate,（を）誇張する；を強調する
,206,suspect,ではないかと思う；（人）を疑う
,207,acquire,を得る；を習得する
,208,reintroduce,(動植物など)をかつての分布域に再導入する、(制度など)を復活させる
,209,reschedule,の日時を変更する
,210,adapt,適応する；を（～に）適合させる（to）
,211,generate,を生み出す；（電気など）を発生させる
,212,guarantee,を保証する
,213,dump,を投棄する；をどさっと落とす
,214,update,を最新のものにする；をアップデートする
,215,classify,を分類する；を機密扱いにする
,216,acknowledge,"（事実など）を認める（≒admit, accept）；に謝意を表す"
,217,enforce,を施行［実施］する；を（～に）強制する（on/upon）
,218,renew,を更新する；（資源）を再生する
,219,overlook,を見落とす；を大目に見る；を見渡す
,220,evaluate,を評価する；を査定する
,221,commit,献身する；（罪など）を犯す；を投入する
,222,argument,議論、口論
,223,archaeologist,考古学者
,224,reputation,評判；名声
,225,fossil,化石；時代遅れの人［物］
,226,status,地位；状態
,227,contrast,（～との）対照（with/to）
,228,workplace,職場
,229,equality,平等
,230,colleague,（職場の）同僚
,231,assistance,援助、支援
,232,luxury,ぜいたく（品）；〔形容詞的に〕豪華な
,233,outbreak,発生，勃発
,234,council,（地方）議会；評議会；（公の）会議
,235,pottery,陶器類、焼き物類
,236,assignment,任務、宿題、割り当て
,237,particle,（微）粒子；ほんのわずか
,238,radiation,放射能，放射線
,239,priority,優先（事項）
,240,content,内容，中身；コンテンツ
,241,destination,(旅行などの)目的地、行き先
,242,mine,鉱山、地雷
,243,injury,傷害、けが
,244,lottery,宝くじ、抽選
,245,feature,特徴、特集記事
,246,labor,労働、労働力
,247,diabetes,糖尿病
,248,bulb,電球、球根
,249,résumé,履歴書[≒CV]、要約
,250,mud,ぬかるみ、泥
,251,psychology,心理学；心理（状態）
,252,corporation,（大）企業；法人
,253,ecosystem,生態系
,254,promotion,昇進、促進、販売促進
,255,administration,管理（部）；行政；政府（機関）
,256,complaint,苦情、不平
,257,debt,借金，負債；恩義
,258,requirement,必要条件、必需品
,259,workforce,労働人口，総労働力；全従業員（数）
,260,preference,他より好むこと、好み
,261,refugee,難民、亡命者
,262,inhabitant,居住者、住民
,263,subscription,予約購読(料)、寄付(金)
,264,recipient,受け取る人；（臓器などの）被提供者
,265,shift,を変える，移す；変わる；移動する
,266,vessel,船舶；容器；（体液が通る）脈管
,267,ingredient,材料，成分；（成功の）要因
,268,qualified,有能な、資格のある、適任の
,269,widespread,広範囲にわたる；広く普及した
,270,alternative,代替の、どちらか一方の
,271,harsh,厳しい；（光・色・味などが）不快な
,272,enormous,莫大な，巨大な
,273,specific,明確な、特定の
,274,artificial,人工の（⇔natural 自然の）；不自然な
,275,toxic,有毒な；中毒性の
,276,flexible,融通の利く，柔軟な
,277,latest,最新の、最近の
,278,former,以前の、元の
,279,capable,能力がある；有能な
,280,practical,実践的な、実際的な
,281,mechanical,機械の；機械的な
,282,federal,連邦（政府）の
,283,aggressive,攻撃的な；意欲的な
,284,adequate,十分な；適切な
,285,unexpected,思いがけない，不意の
,286,attractive,魅力的な
,287,sufficient,"十分な（for ～に, to do ～するのに）"
,288,costly,費用のかかる、高価な、犠牲[損失、労力]の大きな
,289,eventually,ついに(は)、結局(は)
,290,otherwise,そうでなければ、そのほかの点では
,291,previously,以前に
,292,relatively,比較的(に)、相対的に
,293,consequently,その結果(として)、従って
,294,constantly,絶えず、常に
,295,typically,通常、概して、典型的に
,296,barely,かろうじて、ほとんど～ない
,297,despite,～にもかかわらず
,298,per,～につき、～ごとに
,299,beneath,～の下に[の]
,300,whereas,～するのに（対し），～する一方
,301,post,(インターネットで)(情報・メッセージ)を投稿する、(ビラなど)を張る
,302,reject,を拒否する
,303,consult,（に）相談する；を参照する
,304,obey,に従う；に服従する
,305,engage,を従事させる；を（～として）雇う（as）；（～に）従事する（in/with）
,306,restore,を回復させる；を修復する
,307,colonize,を植民地化する、を入植させる
,308,interact,影響し合う；相互に作用する
,309,inspire,（人）を奮起させる；を喚起する
,310,sue,を告訴する；（～を求めて）訴訟を起こす（for）
,311,estimate,～と推定する、を見積もる
,312,strengthen,を(より)強くする
,313,carve,を彫る；を切り開く；（肉）を切り分ける
,314,convince,を納得［確信］させる
,315,propose,を提案する；をもくろむ；結婚を申し込む
,316,blame,を責める；の責任を負わせる
,317,collapse,崩壊する；（人が）倒れる；を折り畳む
,318,import,を輸入する；を取り込む
,319,load,に積む；に負わせる
,320,pollute,を汚染する
,321,spot,(特定の)場所、斑点、しみ
,322,prescription,処方箋、処方
,323,duty,義務；〔しばしば～ties〕職務；関税
,324,union,組合、統合、団結
,325,concept,概念
,326,root,根本、源、(植物の)根
,327,survival,生き残ること、生き延びること
,328,maintenance,保守、整備、維持
,329,formation,形成；構成（物）；隊列
,330,educator,教育者、教師
,331,kidney,腎臓
,332,nutrition,栄養（の摂取）
,333,brand,ブランド、銘柄
,334,storage,保管、貯蔵(法)、収容力
,335,firm,確固たる；堅固な；安定した
,336,statistics,統計；統計学
,337,toll,損害（の程度）；死傷者数；通行料
,338,tip,助言，秘訣；チップ；先端
,339,CEO,最高経営責任者
,340,circumstance,〔通例～s〕状況，事情；境遇
,341,outsider,部外者、門外漢
,342,reduction,減少、削減
,343,settlement,開拓地、解決、合意
,344,divorce,離婚；分離
,345,likelihood,可能性、見込み
,346,livestock,(牛・羊・豚などの)家畜(類)
,347,possession,所有物、財産、所有
,348,plot,（小説などの）筋；陰謀
,349,category,部類，区分；範疇
,350,welfare,福祉，幸福
,351,moisture,水分；湿気
,352,obesity,（病的な)肥満
,353,grant,（人）に（許可・権利など）を与える；を認める
,354,layer,層
,355,secretary,秘書
,356,anxiety,不安、心配
,357,ownership,所有権、所有者であること
,358,foundation,基礎、基盤
,359,division,不和、分割、部門、仕切り
,360,establishment,設立、制定、組織
,361,conservation,（動植物などの）保護；保存
,362,murder,殺人
,363,presence,存在；出席；面前
,364,paradox,逆説；矛盾
,365,prisoner,囚人
,366,surgeon,外科医
,367,frequency,頻度、しばしば起こること
,368,port,港
,369,reception,反応；宴会；受付；受信（状態）
,370,coworker,同僚、仕事仲間
,371,rust,さび
,372,athletics,スポーツ、運動競技
,373,voyage,(ゆったりした長い)旅、船旅
,374,ecologist,生態学者、環境保護論者
,375,soul,精神；魂，霊魂；生気
,376,isolated,孤立した、孤独な
,377,biased,偏った、偏見を持った
,378,multiple,多様な；種々雑多な
,379,critical,批判的な、重大な
,380,remote,（～から）遠く離れた（from）；かけ離れた
,381,encouraging,勇気づける、望みを持たせる
,382,underground,地下の、秘密の
,383,stable,安定した；動じない
,384,domestic,家庭の；国内の；（動物が）飼いならされた
,385,shallow,浅い（⇔deep 深い）；浅薄な
,386,willing,～するのをいとわない、快く～する
,387,superior,よりすぐれた
,388,profitable,利益になる、有益な
,389,solid,しっかりした；硬い；固体の
,390,tremendous,途方もない，莫大な；すばらしい
,391,intellectual,知的な、知性の
,392,chief,主な、最高位の
,393,steady,着実な，一定の；安定した
,394,evil,邪悪な；有害な
,395,coastal,沿岸(地方)の
,396,dairy,〔集合的に〕乳製品；乳製品加工所［販売者］
,397,digestive,消化の
,398,loyal,（～に）忠実な（to）；誠実な
,399,sensory,感覚の
,400,fancy,（気まぐれな）好み；空想；思いつき
,401,spoil,を台無しにする；を甘やかす；だめになる
,402,stimulate,を刺激する
,403,distract,（注意など）をそらす
,404,bargain,買い得品；取引；契約
,405,emerge,明らかになる、現れる
,406,browse,（を）拾い読みする；（を）閲覧する；（商品など）を見て歩く
,407,define,を定義する、を明確に示す
,408,adjust,を調整する；を適合させる；順応する
,409,deserve,に値する
,410,undergo,を経験する；（手術など）を受ける；に耐える
,411,contradict,と矛盾する；に反対意見を言う
,412,withdraw,を引き出す；を撤回する；撤退する
,413,accompany,に同行する；に付随する
,414,infect,(人)を感染させる、を汚染する
,415,rebel,反逆者
,416,convert,を変える；を改宗［転向］させる；を交換する
,417,calculate,を計算する；を予測する
,418,utilize,を利用する（≒make use of）
,419,admit,～と(しぶしぶ)認める、を中に入れる
,420,punish,を罰する；に損傷を与える
,421,approve,賛成する；を承認する
,422,owe,に借りがある；のおかげである
,423,proceed,進む，進行する；（～を）続行する（with）
,424,navigate,（を）誘導する；（を）操縦する；（を）航行する
,425,postpone,を延期する（≒put off）
,426,swallow,（を）飲み込む；をうのみにする；に耐える
,427,tailor,を合わせて作る
,428,overhear,を偶然耳にする
,429,consequence,結果、重要さ
,430,application,申請書、申し込み、適用
,431,workout,運動、(運動競技の)練習
,432,obstacle,（～に対する）障害（物）（to）
,433,treaty,（国家間の）条約；協定
,434,deforestation,森林伐採
,435,infrastructure,基本的施設；（経済）基盤
,436,contribution,貢献、寄付(金)
,437,congestion,混雑
,438,exposure,身をさらすこと、暴露
,439,blow,強打、打撃、災難
,440,participation,参加
,441,crisis,危機、難局
,442,ancestor,先祖、祖先
,443,architect,建築家、設計者
,444,existence,存在、生存
,445,deposit,を置く；を預ける；を堆積させる
,446,finance,金融、財政(学)
,447,awareness,認識、意識
,448,intake,摂取量；受け入れ数；取り入れること
,449,witness,目撃者；証人；証拠，証言
,450,coverage,報道、(保険の)補償範囲、適用範囲
,451,lawsuit,(民事)訴訟
,452,session,集まり；（議会の）会期；（開会中の）議会
,453,means,〔単数・複数扱い〕手段；〔複数扱い〕資力，収入
,454,pioneer,先駆者、草分け、(未開地の)開拓者
,455,satisfaction,満足
,456,basis,根拠、基礎
,457,element,(構成)要素、成分
,458,phenomenon,現象、事象
,459,scale,規模、程度
,460,journal,(専門)雑誌、日刊[週刊]新聞
,461,grain,穀物；粒；きめ
,462,continent,大陸、(イギリスから見て)ヨーロッパ大陸
,463,headquarters,本社、(軍・警察・会社などの)本部
,464,globalization,国際化
,465,brochure,パンフレット、小冊子
,466,inspection,検査、点検
,467,attendance,出席[入場]者数、出席
,468,copper,銅
,469,dozen,12(個)、１ダース
,470,flu,インフルエンザ
,471,burial,埋葬
,472,mold,鋳型；鋳物；性格；かび
,473,patch,（～の）部分，斑点；継ぎ；貼り薬
,474,diagram,図(表)
,475,placement,(就職先・学校・里親などの)斡旋、配置
,476,shame,恥；残念なこと
,477,wheelchair,車椅子
,478,experienced,熟練した
,479,initial,初めの
,480,mainstream,（活動・思潮などの）主流；大勢
,481,appropriate,適切な
,482,fake,偽の；見せかけだけの
,483,alert,警戒して；敏速な
,484,fatal,致命的な、破滅的な
,485,nutritious,栄養になる
,486,sophisticated,高性能の，精巧な；洗練された
,487,automatic,自動の
,488,raw,生の；未加工の
,489,slight,わずかな；取るに足らない
,490,man-made,(物質などが)合成の、人工の
,491,aging,高齢化が進む、老朽化している
,492,spiritual,精神の（⇔material）；霊的な
,493,endangered,(動植物が)絶滅の危機にある
,494,sticky,ねばねばの、粘着性の
,495,fertile,肥沃な（⇔barren 不毛の）；多産の
,496,elsewhere,どこかほかのところへ[に、へ]
,497,altogether,完全に
,498,strictly,厳格に、厳しく
,499,beforehand,前もって、あらかじめ
,500,likewise,同様に（≒in the same way）
,501,detect,を感知する；を見つけ出す；に気づく
,502,combat,戦闘；対立
,503,pose,（危険）を引き起こす；（問題など）を提起する；（～を）装う（as）
,504,emphasize,を強調する；を重視する
,505,highlight,を目立たせる，強調する
,506,resist,に抵抗する；〔通例否定文で〕を我慢する
,507,exceed,を超える；に勝る
,508,relocate,(住居・事務所・住民など)を移転[移動]させる
,509,disprove,の誤りを証明する、の反証を挙げる
,510,crawl,はう；ゆっくり進む
,511,foster,をはぐくむ；を養育する；を心に抱く
,512,harass,を絶えず悩ます、を苦しめる
,513,magnify,を拡大する、を誇張する
,514,sneak,こっそり動く
,515,stray,はぐれる，（道に）迷う
,516,worsen,を悪化させる；悪化する（≒deteriorate）
,517,advocate,を主張する；を擁護する
,518,evacuate,を避難させる、から立ち退く
,519,verify,の正しさを証明［確認］する
,520,abuse,乱用；虐待
,521,scatter,をまき散らす；分散する
,522,endorse,を推奨する
,523,modify,を修正する；を緩和する
,524,penetrate,（に）浸透する；（に）進出する；（を）貫く；（を）見抜く
,525,conform,順応する；一致する
,526,leave,休暇
,527,tissue,（生物の）組織
,528,gut,腸、消化管、内臓
,529,lightning,雷、稲妻
,530,camel,ラクダ、黄褐色
,531,antioxidant,抗酸化物質、酸化防止剤
,532,disorder,障害，（心身の）不調；混乱
,533,cattle,〔集合的に〕牛
,534,oath,誓い、誓約
,535,monument,記念碑，遺跡；金字塔
,536,heating,暖房(装置)
,537,germ,細菌、病原菌
,538,legend,伝説、言い伝え、伝説的な人物
,539,auditorium,(学校の)講堂、公会堂
,540,therapy,療法；心理療法
,541,heritage,遺産
,542,invasion,侵害、侵入
,543,instruction,(製品の)使用書、指示、教育
,544,extinction,(家系・種などの)絶滅、消滅
,545,creativity,創造性、独創性
,546,plantation,(熱帯・亜熱帯の)(大)農園
,547,drought,干ばつ；（慢性的な）不足
,548,wealth,財産、富、豊富
,549,reminder,思い出させるもの、記念物[品]
,550,inquiry,問い合わせ、質問、調査
,551,investigation,(詳しい)調査、研究
,552,boundary,境界（線）；〔通例～ries〕限界
,553,compartment,(列車・客室などの仕切った)区画[部屋]
,554,substitute,を代わりに使う；（～の）代理をする（for）
,555,hybrid,雑種の；混成の
,556,characteristic,特徴
,557,routine,決まり切った仕事；いつもの手順
,558,edge,優勢、刃、端
,559,incident,出来事，事件；紛争
,560,clue,（～の）手がかり（to/about）；（パズルの）ヒント
,561,removal,除去、移動
,562,outcome,結果
,563,altitude,高度，標高
,564,closure,(工場・学校などの)閉鎖
,565,compound,を悪化させる；を合成する；を混合する
,566,surplus,余剰（⇔shortage 不足），過剰；黒字
,567,vaccine,ワクチン
,568,reference,言及、参照
,569,obligation,義務、責任
,570,ritual,儀式；（日常の）習慣的行為
,571,mean,意地の悪い、不親切な
,572,coral,サンゴ(製)の
,573,novel,斬新な、目新しい
,574,relevant,関係がある；適切な
,575,efficient,効率的な、有能な
,576,fragile,壊れやすい；虚弱な
,577,impressive,印象的な、感動的な
,578,offensive,不快な、攻撃的な
,579,distinct,明らかに異なる；明瞭な
,580,temporary,一時的な（⇔permanent）
,581,arrogant,横柄な，傲慢な
,582,spacious,広々とした
,583,reasonable,筋の通った、分別のある、(値段などが)手ごろな
,584,substantial,(数量などが)かなりの、重要な、実質的な
,585,disabled,障害のある；障害者用の
,586,straightforward,単純な；率直な
,587,tame,飼いならされた，人に慣れた；退屈な
,588,mandatory,義務的な、強制的な、命令の
,589,edible,食用の，食べられる
,590,outstanding,際立った；未払いの；未解決の
,591,deadly,致命的な、命にかかわる
,592,petty,低級の、心の狭い、取るに足らない
,593,definitely,間違いなく、確かに
,594,roughly,おおよそ、乱暴に
,595,virtually,ほとんど、実質的に
,596,apparently,(真偽のほどはともかく)聞いた[見た]ところでは、どうやら
,597,unfairly,不当に、不公平に
,598,briefly,少しの間に、簡潔に
,599,aside,わきに、別にして、考慮に入れないで
,600,legally,法的に、合法的に
,601,resort,（好ましくない手段に）訴える，頼る（to）
,602,submit,を提出する；（～に）従う（to）
,603,originate,由来する、生じる、始まる
,604,regret,を後悔する、を遺憾に思う
,605,cooperate,協力する
,606,revise,を修正する；を改訂する
,607,restrict,を制限する
,608,occupy,（空間・時間）を占める；を占領する
,609,fade,薄れる；衰える
,610,relieve,を和らげる；〔受身形で〕（...して）安心する（to do）；を解放する
,611,suppress,を抑える；を抑圧する
,612,starve,飢える；（～を）渇望する（for）；を飢えさせる
,613,scratch,を引っかく；を取り消す，削除する
,614,unite,団結する、一体化する
,615,grip,を握る；をとらえる
,616,surrender,を放棄する，引き渡す；（～に）屈する（to）
,617,twist,をねじる，ひねる；を歪曲する
,618,remodel,を改装する、を改造する
,619,triple,３倍になる、を３倍にする
,620,drown,溺死する；を水浸しにする
,621,lean,傾く；寄りかかる；をもたせかける
,622,soak,を浸す；をずぶぬれにする；浸る
,623,hover,(鳥・昆虫・ヘリコプターなどが)空中(の一点)に止まる
,624,interrupt,を中断させる；（の）邪魔をする
,625,socialize,(社会的に)交際する
,626,termite,シロアリ
,627,microbe,微生物；細菌
,628,beverage,（水以外の）飲み物，飲料
,629,paperwork,(必要)書類、書類事務
,630,descendant,子孫
,631,sculpture,彫刻（作品）
,632,handout,(講演・授業などの)配布物、プリント
,633,replacement,交換、交替、代わりの人[もの]
,634,minister,大臣
,635,stream,小川
,636,predator,捕食動物；略奪者
,637,observer,監視員、観察者
,638,commission,代理手数料、歩合、委員会
,639,committee,委員会
,640,junk,がらくた、つまらないもの
,641,departure,出発
,642,description,描写、説明
,643,supervisor,監督者；指導教員
,644,guidance,指導、案内
,645,landscape,眺め、風景、景色
,646,crew,(船の)乗組員、(飛行機・列車などの)乗務員
,647,drain,（液体）を流出させる；（液体が）流れ出る
,648,stereotype,固定観念、ステレオタイプ
,649,edition,(刊行物の)版
,650,graphic,図、挿絵
,651,pathway,小道、細道
,652,reunion,再会（の集い）；再結合
,653,cliff,崖、絶壁
,654,coordinator,コーディネーター、取りまとめ役、責任者
,655,depth,深さ、深み
,656,liver,肝臓
,657,monopoly,独占（権）
,658,usage,（使）用法；語法；習慣
,659,chart,図，グラフ；海図；ヒットチャート
,660,expectancy,期待、見込み
,661,nowhere,どの場所も～ない
,662,courthouse,裁判所(の建物)
,663,cove,入江、小湾
,664,dock,埠頭、波止場、(艦船の)ドック
,665,ministry,省
,666,inflammation,炎症、点火、引火
,667,cholesterol,コレステロール
,668,gender,(社会的・文化的)性別、ジェンダー
,669,depression,うつ病、意気消沈、不景気
,670,stem,（草木の）茎，幹
,671,personnel,〔集合的に〕職員，社員
,672,controversy,論争
,673,recognition,(人・物が)それと分かること、認めること、認識
,674,applicant,応募者、志願者
,675,anthropologist,人類学者
,676,sewage,下水
,677,acceptable,受け入れられる、容認できる
,678,nuclear,原子力利用の、核エネルギーの
,679,moral,道徳(上)の、倫理的な
,680,marine,海の；船舶の
,681,conventional,伝統的な、型にはまった
,682,awful,ひどい；嫌な；ものすごい
,683,consistent,着実な、安定した、首尾一貫した
,684,primitive,原始的な；未開の
,685,mature,成熟した；熟した
,686,unfamiliar,（～に）不慣れな（with）；（～に）（よく）知られていない（to）
,687,impractical,実用的ではない、非現実的な
,688,unpredictable,変わりやすい、予測できない
,689,misleading,誤解させる、紛らわしい
,690,plentiful,豊富な、十分な
,691,Mediterranean,地中海(沿岸地域)の
,692,unsafe,安全でない、危険な
,693,bare,露出した、裸の
,694,feeble,病弱な、(体が)弱々しい
,695,horrible,実にひどい、ぞっとする
,696,scenic,景色の良い
,697,supplementary,補足の、追加の
,698,nosy,詮索好きな、おせっかいな
,699,intermediate,中級の；中間の
,700,universal,(あらゆる人に)共通の、全員の、普遍的な
,701,capture,を捕らえる、を捕虜にする
,702,arise,起こる、出現する
,703,implement,を実行［実施］する
,704,reproduce,を複製する；を繁殖させる；繁殖する
,705,seize,をつかむ；を奪い取る；を没収する
,706,dominate,を支配する、優勢である
,707,complicate,を複雑にする
,708,scan,を走査する；をざっと見る；を注意深く調べる
,709,negotiate,交渉する；を（交渉して）取り決める
,710,illustrate,を説明する、を例示する
,711,encounter,に遭遇する
,712,confine,を限定する；〔通例受身形で〕閉じ込められる
,713,transmit,を伝える；（電波・信号など）を送る
,714,administer,を管理する、を経営する、を治める、(治療)を施す
,715,ease,を和らげる、緩和する
,716,resume,（を）再開する；を取り戻す
,717,pursue,を追跡する、を追求する
,718,decay,腐敗する（≒rot）；（徐々に）衰える
,719,shrink,縮む，縮小する；減少する；ひるむ
,720,cherish,を大切にする；を心に抱く
,721,launch,を売り出す、を開始する、(ロケットなど)を発射する
,722,accommodate,を収容する；を（～に）適応させる（to）
,723,withstand,に耐える
,724,halt,を止める；止まる
,725,transform,を大きく変える
,726,transplant,を移植する；を移住させる
,727,retail,小売り（⇔wholesale 卸売り）
,728,abandon,を捨てる、を放棄する
,729,developer,宅地造成業者、開発者
,730,circulation,循環；流通；（新聞・雑誌の）発行部数
,731,appliance,(特に家庭用の)器具
,732,bond,きずな、債券、契約
,733,circuit,周回すること、回路、巡回
,734,innovation,(技術)革新、新機軸
,735,infant,幼児、乳児
,736,transaction,（商）取引；（人と人との）交流
,737,celebrity,有名人、著名人
,738,checkup,健康診断、検査
,739,makeup,化粧；化粧品；構成；性質
