Revised,Number,Vocabulary,Meaning
,92,trade,[名] ①貿易 ②（the ～ trade）～業 ③商売 [他] ④～を交換する
,93,wealth,[名] ①富，財産〈不可算〉 ②（a ― of ～）豊富な～
,94,economy,[名] ①経済 ②節約
,95,cost,[他] ①（費用）を要する，～がかかる ②～を犠牲にする [名] ③費用，犠牲
,96,company,[名] ①会社 ②（one's ―）一緒にいること ③仲間 ④来客
,97,task,[名] 仕事〈可算〉
,98,earn,[他] ①（金）を稼ぐ，もうける ②（評判など）を得る
,99,hurt,[自] ①（身体の部位が）痛む [他] ②（身体，感情）を傷つける
,100,injure,[他] ①～を痛める ②～をけがさせる
,101,damage,[他] ①～に損害を与える [名] ②損害，被害〈不可算〉 ③（―s）賠償金
,102,destroy,[他] ①～を（完全に）破壊する ②～を殺す，全滅させる
,103,ruin,[他] ①～を台無しにする ②～を破滅させる [名] ③（―s）廃墟，荒廃
,104,danger,[名] 危険
,105,neighbor,[名] ①近所の人 ②（a next-door ―）隣の人
,106,audience,[名] 聴衆，観客
,107,crowd,[名] 群衆
,108,author,[名] ①著者 ②（主に文学作品の）作家
,109,staff,[名] （集合的に）職員，従業員
,110,clerk,[名] ①〈米〉店員 ②事務員，社員
,111,customer,[名] 客
,112,passenger,[名] 乗客
,113,elderly,[形] ①年配の ②（the ―）（総称的に）年配の人々
,114,female,[形] ①女性の ②（動物）雌の [名] ③女性，雌
,115,head,[自] ①向かう [他] ②～を率いる
,116,follow,[他] ①～の後について行く，～に続く ②（忠告，方針など）に従う
,117,wander,[自] 歩き回る，さまよう
,118,travel,[自] ①旅行する，移動する ②（光，音などが）進む
,119,pass,[他] ①～を通り過ぎる ②～を抜く ③（試験）に受かる ④（（人）A）（人）に（A を）渡す [自] ⑤（時が）過ぎる [名] ⑥通行証
,120,likely,[形] ①（to do）～しそうだ，可能性が高い [副] ②おそらく
,121,natural,[形] ①当然の ②自然の ③生まれながらの
,122,certain,[形] ①確かな ②（名詞の前で）ある～
,123,probably,[副] おそらく
,124,face,[他] ①～に直面する ②〈方向〉～向きである [名] ③顔，体面、文字盤
,125,avoid,[他] ～を避ける
,126,solve,[他] ～を解決する
,127,trouble,[名] ①問題，ごたごた（通例〈不可算〉)[他] ②～を困らせる
,128,issue,[名] ①問題 ②（雑誌の）号 [他] ③（切手など）を発行する
,129,cheer,[他] ①（on）～に声援を送る ②（up）～を励ます [名] ③声援，励まし ④（―s）乾杯
,130,encourage,[他] ①（A to do）（A）に（～するよう）促す，奨励する ②～を励ます
,131,support,[他] ①～を支持する ②（家族など）を養う ③（理論など）を立証する [名] ④支持，支援<不可算>
,132,prevent,[他] ①（A from B）（AがBするの）を妨げる ②～を予防する
,133,deny,[他] ①～を否定する ②〈SVO1O2〉（O1）に（O2を）与えない
,134,enable,[他] （A to do）（A）に［が］（～することを）可能にする
,135,succeed,[自] ①（in ～）（～に）成功する ②（to ～）（家業などを）継ぐ
,136,miss,[他] ①～を逃す ②～を休む ③～を恋しく思う
,137,fail,[自] ①（in［at］～）（～に）失敗する ②（to do）～できない [他] ③（試験）に落ちる ④（人）に役に立たない
,138,mistake,[名] ①間違い [他] ②（A for B）（A）を（B と）間違える
,139,check,[他] ①～を調べる ②～を阻止する [名] ③小切手 ④勘定書 ⑤検査，点検 ⑥抑制
,140,hide,[他] ①～を隠す [自] ②隠れる
,141,draw,[他] ①（線で絵など）を描く ②（注意）を引く ③～を引っ張る，集める
,142,join,[他] ①（クラブ，団体など）に加わる ②～をつなぐ ③（食事などを）～とともにする [自] ④（議論，活動などに）参加する
,143,throw,[他] ①～を投げる ②（away［out］）～を捨てる ③（パーティなど）を催す [名] ④投げること
,144,operate,[他] ①（機械など）を操作する [自] ②手術する ③（機械などが）作動する，（組織が）運営される
,145,repair,[他] ①～を修理する ②～を修復する [名] ③修理，修復
,146,sew,[他] ①～を縫う ②（on）（ボタンなど）を縫いつける
,147,raise,[他] ①～を上げる ②（子ども，作物）を育てる ③（お金，資金）を集める ④（問題）を提起する [名]⑤賃上げ，昇給
,148,serve,[他] ①（飲食物）を出す ②～に役立つ [自] ③役立つ
,149,pour,[他] ①～を注ぐ [自] ②降りそそぐ
,150,spill,[他] ①～をこぼす [名] ②（石油などの）流出
,151,pretend,[自] （to do / that SV）（～する/ ～である）ふりをする
,152,behave,[自] ふるまう
,153,bear,[他] ①（can ―）～に耐える ②～を持つ、運ぶ ③～を産む
,154,explore,[他] ①～を探検する，（街など）を探索する ②（問題など）を探る
,155,happen,[自] ①（to ～）（～に）起こる ②（to do）偶然～する
,156,appear,[自] ①現れる ②（to be ～）～のように思える
,157,remain,[自] ①～のままでいる ②残る
,158,survive,[自] ①生き残る [他] ②～から生き延びる，～の後も存続する
,159,belong,[自] （to ～）（～に）所属している
,160,represent,[他] ①～を代表する ②（記号などが）を表す ③～を表現する
,161,base,[他] ①～の基礎を置く [名] ②基礎（の部分），基盤 ③基地
,162,include,[他] ～を含む
,163,contain,[他] ①～を含む ②（主に否定で）～を抑える
,164,own,[形] （所有格の後で）①自分自身の ②（名詞的に）自分自身のもの [他] ③～を所有している
,165,share,[他] ①～を共有する ②（考えなど）を（人に）伝える [名] ③共有 ④分け前
,166,collect,[他] ①（同種の物）を集める ②～を徴収する，回収する
,167,gather,[他] ①～を集める [自] ②集まる
,168,history,[名] ①歴史 ②履歴，前歴，病歴
,169,subject,[名] ①科目 ②話題 ③被験者 [形] ④（be ― to ～）～を受けやすい
,170,education,[名] 教育
,171,knowledge,[名] 知識，知っていること
,172,uniform,[名] ①制服 [形] ②同一の，一定の
,173,grade,[名] ①（小，中，高の）学年 ②等級 ③成績
,174,senior,[名] ①（高校，大学の）最上級生 [形] ②高齢者の ③（地位が）上位の
,175,graduate,[自] （from ～）（～を）卒業する
,176,decide,[他] ①（to do）（～すること）を決定する，決心する [自] ②（on ～）（～を）決める
,177,judge,[他] ①～を判断する [名] ②裁判官，審判（員）
,178,quit,[他] ～を（完全に）やめる
,179,retire,[自] （from ～）（～を）引退する，退職する
,180,review,[名] ①再検討 ②（新聞などの）批評 ③復習
,181,choose,[他] ①～を選ぶ [自] ②選ぶ
,182,imagine,[他] ～を想像する
,183,guess,[他] ①～を推測する [名] ②推測
,184,expect,[他] ①～を予期する ②（A of［from］ B）（B にA）を期待する ③（be ―ing）（～を）身ごもっている（※③は[自]も可）
,185,predict,[他] ～を予測する
,186,remember,[他] ①（doing）（過去にしたこと）を覚えている ②（to do）（～すること）を覚えている ③（me to ～）（～に）よろしく伝える
,187,remind,[他] ①（A of B）（A）に（B のことを）思い出させる ②（（人）to do）（人）に～するように念を押す
,188,realize,[他] ①～を（はっきり）理解する ②（夢，計画など）を実現する
,189,appreciate,[他] ①～を（正しく）理解する ②～のよさがわかる ③～に感謝する
,190,accept,[他] ～を受け入れる
,191,consider,[他] ①～をよく考える，考慮する ②（人の気持ち）を思いやる ③（A （to be［as］)B)（A）を（B と）みなす
,192,mind,[自] ①気にする [名] ②精神，頭脳 ③（才能，知性のある）人
,193,wonder,[他] ①（wh―節 / if SV）～かなと思う [自] ②（at ～）（～に）驚く
,194,seem,[自] ～のように思われる
,195,compare,"[他] ①（A with［to, and］ B）（A）を（B と）比較する ②（A to B）（A）を（B に）例える [自] ③（with［to］～）（～に）匹敵する"
,196,concentrate,[自] ①（on ～）（～に）集中する [他] ②（A on B）（A）を（B に）集中させる
,197,focus,[自] ①（on ～）（～に）焦点を当てる，力を注ぐ [名] ②焦点
,198,allow,[他] ①（人が）～を許可する ②（物が）～を可能にする
,199,admit,[他] ①～を認める ②～の入場［入学］を許可する
,200,ground,[名] ①地面 ②根拠
,201,pollution,[名] 汚染，公害〈不可算〉
,202,sight,[名] ①光景 ②視力
,203,view,[名] ①眺め，景色〈可算〉 ②見解，見方 [他] ③（A as B）（A）を（B と）みなす
,204,landscape,[名] ①風景 ②（the ―）（政治，社会の）情勢
,205,nature,[名] ①（無冠詞）自然 ②（しばしばthe ― of ～)（～の）性質
,206,seed,[名] ①種 ②シード選手
,207,plant,[名] ①植物 ②（大規模な）工場、発電所 [他] ③～を植える
,208,bloom,[自] ①（花が）咲く [名] ②開花
,209,harvest,[名] ①収穫 [他] ②～を収穫する ③（臓器，体液など）を摘出する
,210,insect,[名] 昆虫
,211,earthquake,[名] 地震
,212,temperature,[名] ①温度，気温 ②体温
,213,degree,[名] ①（温度などの）度 ②程度 ③学位
,214,flood,[名] ①洪水 <可算>[他] ②～を水浸しにする
,215,freeze,[自] ①凍る，凍りつく [他] ②～を凍らせる
,216,reflect,[他] ①～を反射する ②～を反映する [自] ③（on ～）（～を）熟考する
,217,polite,[形] （人，言動が）礼儀正しい
,218,rude,[形] （言葉、行為が）無礼な，不作法な
,219,lonely,[形] 孤独な
,220,lazy,[形] ①（やる気がなく）怠惰な，いい加減な ②（名詞の前で）くつろいだ
,221,strict,[形] 厳しい
,222,ugly,[形] 醜い
,223,intelligent,[形] 知的な，賢い
,224,silly,[形] ばかな
,225,nervous,[形] ①あがって，落ち着かない ②神経質な，臆病な ③（身体の）神経の
,226,awake,[形] 目を覚まして
,227,alone,[副] ①1人で [形] ②（名詞＋alone）～だけ
,228,attitude,[名] 態度，姿勢
,229,character,[名] ①性格，特徴 ②登場人物 ③文字
,230,characteristic,[名] ①特徴〈可算〉 [形] ②特有の，特徴的な
,231,feature,[名] ①特徴 ②特集記事 [他] ③～を特集する
,232,detail,[名] ①詳細 ②（建物などの）細部
,233,advantage,[名] （over ～）（～に対する）利点
,234,fault,[名] ①（ちょっとした）欠点，不具合〈可算〉 ②（one's ―）責任〈不可算〉 ③断層
,235,quality,[名] ①質〈不可算〉 ②（通例―s）（人間の）資質
,236,correct,[形] ①正確な，正しい [他] ②～を訂正する，矯正する
,237,ideal,[形] ①理想的な，申し分のない [名] ②理想，理想的な姿
,238,fair,[形] ①公正な，公平な [名] ②品評会，見本市
,239,appropriate,[形] 適切な
,240,famous,[形] ①（for one's ～）（～で）有名な ②（as ～）（～として）有名な
,241,elementary,[形] 初歩的な，基本の
,242,major,[形] ①主要な [自] ②（in ～）（～を）専攻する [名] ③専攻
,243,matter,[自] ①重要である [名] ②（修飾語を伴い）物質 <不可算>③（―s）事態，状況
,244,bright,[形] ①明るい ②（主に子どもや若者が）賢い
,245,brilliant,[形] ①輝いている ②すばらしい
,246,lively,[形] 生き生きとした
,247,comfortable,[形] ①（物が）快適な ②（人が）心地よい
,248,pleasant,[形] （人にとって）楽しい，心地よい
,249,convenient,[形] ①都合がよい ②近くて便利がよい
,250,FALSE,[形] ①誤った ②偽の
,251,terrible,[形] ①ひどい ②苦手で
,252,awful,[形] ひどい，不快な
,253,thin,[形] ①薄い ②（病的に）やせた ③（毛が）薄い
,254,tight,[形] ①引き締まった，きつい ②厳しい
,255,loose,[形] ①ゆるい ②解き放たれた
,256,raw,[形] 生の，加工されていない
,257,empty,[形] ①空の，中身のない [他] ②～を空にする
,258,smooth,[形] ①滑らかな ②順調な [他] ③（服のしわ）をのばす，（髪）をなでつける
,259,direct,[形] ①直接的な [他] ②～を指揮［監督，演出］する ③（注意など）を向ける ④～に道を教える
,260,familiar,[形] ①知られた ②（人が）（よく）知っている
,261,similar,[形] （to ～）（～に）似た
,262,differ,[自] 異なる
,263,vary,[自] さまざまだ，変わる
,264,specific,[形] ①特定の ②明確な，具体的な
,265,common,[形] ①普及した，普通の ②（主に名詞の前で）共通の
,266,unusual,[形] 珍しい
,267,add,[他] ①～を加える [自] ②（to ～）（～を）増やす
,268,increase,[自] ①増える [他] ②～を増やす [名] ③（in ～）（～の）増加
,269,reduce,[他] ①～を減らす ②（A to B)A をB にする
,270,divide,[他] ①～を分割する ②（by ～）（～によって）（数字）を割る
,271,count,[他] ①～を数える [自]②数える ③重要である ④（on ～）（～を）（全面的に）当てにする
,272,weigh,[自] ①～の重さがある [他] ②～の重さを量る ③～を（比較）検討する
,273,quarter,[名] ①④分の①，15分，25セント ②（都市のある特定な）地域
,274,lot,[名] ①（a ― of ～）多くの～ ②（副詞的に）（a ―）とても ③（one's）（～の）状況，運命 ④（何らかの目的を持つ）土地
,275,pile,[名] ①積み重ね，山 ②多量 [他] ③～を積み重ねる
,276,rate,[名] ①割合，速さ ②（ホテルなどの一定の）料金 [他] ③～を評価する
,277,figure,[名] ①数字 ②人物 ③スタイル，体つき ④図 [自] ⑤目立つ
,278,lack,[名] ①（（a）― of ～）（～の）不足 [他] ②～を欠いている
,279,extra,[形] ①余分な，追加の，臨時の [名] ②余分な［追加された］もの
,280,ready,[形] ①用意ができている ②（be ～ to do）進んで～する
,281,prepare,[他] ①～の準備をする，用意をする [自] ②準備をする，用意をする [形] ③（be ―d to do）（～する）準備ができている
,282,adjust,[自] ①（to ～）（～に）慣れる [他] ②～を調整する
,283,apply,[自] ①（to ～）（～に）当てはまる ②（for ～）（～に）申し込む [他] ③～を当てはめる，応用する ④（薬，口紅など）を塗る
,284,suit,[他] ①（人）に適している，好都合だ ②（服装，色が人）に似合う [名] ③訴訟（＝lawsuit)④スーツ
,285,case,[名] ①場合 ②（the ―）事実 ③（犯罪）事件 ④症例 ⑤（make a ―）主張（する）
,286,scene,[名] ①（劇，小説などの）場面 ②（事故）現場 ③（the ～ scene）～（業）界
,287,chance,[名] ①（to do）（～する）機会 ②（of ～ / that SV）（～の/ ～する）可能性
,288,opportunity,[名] （よい）機会，好機
,289,experience,[名] ①経験 ②（個々の）体験 [他] ③～を経験する
,290,time,[名] ①（漠然とした）時間 ②（ある長さの）時間 ③回数 ④倍 ⑤（―s）情勢，時代 ⑥（接続詞的に（the)next ―）次に～するとき
,291,spring,[名] ①春 ②泉，温泉 [自] ③飛び出る，突然出現する
,292,minute,[名] ①（時間の）分 ②（a ―）ちょっとの間 ③（―s）議事録 [形] ④とても小さい，細かい [接] ⑤（the ―）～するとすぐに
,293,age,[名] ①年齢 ②時代 ③（―s）長い間 [自] ④高齢化する
,294,generation,[名] ①世代 ②生み出すこと ③発電
,295,anniversary,[名] 記念日
,296,recently,[副] 最近，近ごろ
,297,used,[助] ①（to ～）以前は～だった，よく～したものだ [形] ②（be ― to doing）（～することに）慣れている ③中古の
,298,early,[副] ①（時間，時期が）早く，初期に ②（予定より）早く [形] ③早い，初期の
,299,first,[形] ①第①の ②（for the ― time）初めて [副] ③初めて ④（文頭で）まず第①に（＝firstly)[名]⑤（at ―）最初のうちは
,300,latest,[形] （the ―）最新の
,301,modern,[形] ①現代の ②近代的な
,302,ancient,[形] ①古代の ②古びた
,303,spend,[他] ①（時間）を費やす ②（お金）を使う
,304,delay,[他] ①～を遅らせる [名] ②遅延，延期
,305,borrow,[他] ～を借りる
,306,lend,[他] ①（無償で）～を貸す ②（銀行が利子をつけて）を貸す
,307,rent,[他] ①～を借りる ②（A to B）（A）を（B に）賃貸しする [名] ③家賃，賃貸料，使用料
,308,provide,[他] （A with B）（AにB）を供給する，与える
,309,board,[名] ①（細長い）板 ②（幹部などによる）委員会 [他] ③～に乗る
,310,garbage,[名] ごみ〈不可算〉
,311,item,[名] ①品物 ②（集合名詞を数えるときに用いる）...点、個 ③（リストなどの）項目
,312,wheel,[名] ①車輪 ②（the ―）ハンドル [他] ③（車輪のついたもの）を動かす
,313,note,[名] ①メモ ②〈英〉紙幣 [他] ③（that SV）（～ということ）を指摘する ④～に注意を払う
,314,present,[名] ①プレゼント ②現在 [形] ③現在の ④出席して，存在して [他] ⑤～を贈る，提示する
,315,bargain,[名] ①買い得品<可算> [自] （商談などで）交渉する
,316,stuff,[名] ①（漠然とした）もの [他] ②～を詰める
,317,string,[名] ①ひも ②（a ― of ～）一連の～ ③（ギターなどの）弦
,318,leisure,[名] ①余暇 ②（形容詞的に）余暇の
,319,diet,[名] ①食事 ②規定食 ③（D―)（日本の）国会
,320,furniture,[名] 家具〈不可算〉
,321,refrigerator,[名] 冷蔵庫
,322,traffic,[名] 交通（量）〈不可算〉
,323,sell,[他] ①～を売る [自] ②売れる
,324,pay,[他] ①（A for B)（B の代金としてA）を支払う [自] ②（for A)（A の代金を）支払う ③（仕事などが）割に合う [名] ④給料
,325,wear,[他] ①～を身につけている ②～をすり減らす [自] ③すり減る
,326,clothes,[名] 服〈複数扱い〉
,327,marry,[他] ①～と結婚する [形] ②（―ied）結婚している
,328,greet,[他] ～に挨拶する，出迎える
,329,order,[他] ①～を注文する ②（医者や上官などが）～に命令する [名] ③注文 ④命令 ⑤順序 ⑥秩序
,330,room,[名] ①部屋 ②余地，空間〈不可算〉
,331,story,[名] 階
,332,site,[名] ①用地 ②現場，場所 ③（史跡などの）跡
,333,yard,[名] ①（主に〈米〉）庭 ②ヤード（＝約0.9 m）
,334,bottom,[名] ①底 ②一番下，最下位 ③尻
,335,line,[名] ①列 ②行，線 ③電話回線 ④セリフ [自] ⑤（―up）並ぶ
,336,row,[名] ①列 [他] ②（ボート）をこぐ
,337,background,[名] ①背景 ②経歴，生い立ち
,338,direction,[名] ①方向，方角 ②（―s）道順 ③指示
,339,culture,[名] ①文化 ②培養，養殖 ③教養 [他] ④～を耕す，栽培［養殖］する
,340,art,[名] ①芸術 ②（何かを行う）技術 ③（liberal ―s）一般教養
,341,cartoon,[名] 漫画
,342,novel,[名] ①小説 [形] ②斬新な
,343,instrument,[名] ①楽器 ②器具
,344,tune,[名] ①曲 [自] ②（番組に）チャンネルを合わせる [他] ③～の調子を合わせる
,345,sentence,[名] ①（ ①つ①つの）文 ②判決 [他] ③（A to B）（A）を（B）の刑にする
,346,article,[名] ①記事 ②品物 ③冠詞 ④条項
,347,passage,[名] ①（文章などの）一節 ②（時の）経過，移動
,348,vocabulary,[名] 語彙
,349,rumor,[名] うわさ
,350,spell,[他] ①～をつづる [名] ②呪文 ③（天気などのある一続きの）期間
,351,pronounce,[他] ①（単語など）を発音する ②（判決など）を宣告する，～と断言する
,352,sign,[名] ①兆候，印 ②標識，看板，掲示 [他] ③～を署名する
,353,mean,[他] ①～を意味する ②（to do）～するつもりだ [形] ③意地悪な
,354,publish,[他] ①～を出版する ②（公式に結果など）を発表する
,355,display,[他] ①～を展示する ②（実力など）を発揮する ③～を誇示する [名] ④展示，表現，誇示
,356,trust,[他] ①～を信頼する [名] ②信頼，信用
,357,depend,[自] ①（物，事が主語）（on ～）（～）次第である ②（人が主語）（on ～）（～に）頼っている
,358,rely,[自] （on ～）（～に）頼る
,359,pray,[自] 祈る
,360,beg,[他] ①～を嘆願する [自] ②求める
,361,prefer,[他] （A to B)（B よりA）を好む
,362,weep,[自] しくしく泣く
,363,hate,[他] ～を嫌う
,364,worry,[自] ①心配をする [名] ②心配（事）
,365,anxious,[形] ①（about ～）（～を）心配して ②（to do / for ～）（～を）切望して
,366,satisfy,[他] ①～を満足させる ②（必要性，空腹など）を満たす
,367,annoy,[他] ～を苛立たせる
,368,bother,[他] ①～に面倒をかける ②（to do）わざわざ～する [名] ③面倒なもの
,369,disturb,[他] ①（うるさくして）～に迷惑をかける ②（平和など）を乱す
,370,frighten,[他] ～を怯えさせる
,371,regret,[他] ①～を後悔する ②（to do）残念ながら～しないといけない [名] ③後悔
,372,favor,[名] ①親切な行為 ②支持
,373,interest,[名] ①関心 ②（―s）利益 ③（銀行などの）利子
,374,pity,[名] ①残念なこと〈可算〉 ②哀れみ〈不可算〉
,375,due,[形] ①（due to （名詞））（名詞）が原因で ②締め切りの ③到着［出産］予定の
,376,reason,[名] ①理由 ②理性 [他] ③～を推理する [自] ④思考する，判断する
,377,result,[名] ①結果 [自] ②（in ～）結果として（～に）なる ③（from ～）（～の）結果として生じる
,378,effect,[名] 効果，影響，結果
,379,influence,[名] ①影響（力)[他] ②～に影響を与える
,380,end,[自]（end up doing）結局～することになる [名] ②端、終わり ③（最終的な）目的
,381,cause,[他] ①～を引き起こす [名] ②原因
,382,affect,[他] （直接的に）～に影響を与える，作用する
,383,way,[名] ①方法 ②（in ～ way）（～の）点（で)③道 [副] ④はるかに
,384,manner,[名] ①方法 ②流儀，態度 ③（―s）マナー
,385,purpose,[名] 目的
,386,sake,[名] ①（for ～）ため ②日本酒
,387,right,[副] ①（場所や時の副詞（句）を修飾して）ちょうど [形] ②正しい，適切な ③右の [名] ④（to ～）（～の）権利
,388,complete,[形] ①完全な [他] ②～を完成させる
,389,hardly,[副] ①（程度）ほとんど～ない ②（― ever）めったに～ない
,390,almost,[副] ほとんど
,391,partly,[副] ある程度，部分的に
,392,indeed,[副] ①（強調として）実際に，本当に ②（but を伴って）確かに～
,393,even,[副] ①さえも ②（比較級の前で）さらに [形] ③偶数の ④均一の ⑤（数字が）ちょうどの
,394,exactly,[副] ①正確に ②〈会話で〉そのとおり
,395,gradually,[副] 徐々に
,396,therefore,[副] それゆえに
,397,instead,[副] ①代わりに ②（of ～）（～の）代わりに
,398,until,[前] ①～まで（ずっと)[接] ②～まで（ずっと）
,399,besides,[前] ①～に加えて [副] ②おまけに
,400,except,[前] ①～を除いて ②（for ～）（～を）除いて
,401,debate,[名] ①討論 [他] ②～を討論する
,402,criticize,[他] ～を批判する
,403,accuse,[他] ①～を非難する ②～を告訴する
,404,insist,[自] ①（on ～）（～と）言い張る，（強く）主張する [他] ②～と主張する、を求める
,405,object,[自] ①（to ～）（～に）反対する [名] ②物 ③目的 ④（嘲笑，欲望などの）対象
,406,protest,[自] ①（against ～）（～に対して）抗議する [名] ②抗議
,407,controversial,[形] 論争を招く，物議をかもす
,408,bound,[形] ①（to do）きっと～（する，～する［である］に違いない)②（for ～）～行きで
,409,bet,[他] ①（that SV）きっと～だと思う ②～を賭ける
,410,demand,[他] ①～を（強く）要求する [名] ②（for ～）（～への）要求，需要
,411,desire,[名] ①願望 [他] ②～を強く望む
,412,praise,[他] ①（A for B）（A）を（B のことで）褒める，称える [名] ②賞賛
,413,honor,[名] ①名誉，栄誉 [他] ②～を敬う
,414,chat,[自] ①おしゃべりする [名] ②おしゃべり
,415,refer,[自] （to ～）①（人が主語）（～に）言及する，参照する ②（物が主語）（～を）示す
,416,mention,[他] ～について述べる，言及する
,417,convey,[他] ①～を伝える ②（乗客，音，病気など）を運ぶ
,418,demonstrate,[他] ～を（はっきり）示す，実演する
,419,emphasize,[他] ～を強調する
,420,exaggerate,[他] ①～を誇張する [自] ②誇張する，大げさに言う
